"PassengerId","Survived"
892,0.0722811719740013
893,0.561517239031626
894,0.100116333058239
895,0.0877625803435596
896,0.64383679315657
897,0.121394408830565
898,0.638056063646721
899,0.111118979324431
900,0.837558954141703
901,0.0358685289324675
902,0.105690300208533
903,0.359540915134681
904,0.968826781794474
905,0.0602669268042486
906,0.936238591494608
907,0.888697056154699
908,0.191845211223435
909,0.101460470620995
910,0.515394918638306
911,0.709533278689483
912,0.217533631479907
913,0.791081198473959
914,0.975479521121071
915,0.472463531276047
916,0.914651752745379
917,0.0281011643984478
918,0.945829329868954
919,0.0977389527965049
920,0.396345091580972
921,0.0294917710272194
922,0.0841596888833756
923,0.0966570728206903
924,0.488235909993162
925,0.493480206599803
926,0.355464984725345
927,0.107944236259555
928,0.651438375260136
929,0.694268677498071
930,0.092580773657039
931,0.102197822803585
932,0.0464231222086836
933,0.448646505783803
934,0.0611156892759
935,0.919913744179066
936,0.93743859909442
937,0.0920441266183703
938,0.369434564096628
939,0.0853906474989179
940,0.951572672655287
941,0.608369813842148
942,0.396530191998623
943,0.230443648439206
944,0.614936771235153
945,0.798064682527218
946,0.184807045291686
947,0.279115587420362
948,0.0713769248107723
949,0.0919507134668213
950,0.0634635718432909
951,0.974813396444692
952,0.11227598340791
953,0.205807631139784
954,0.109489913730906
955,0.68754608732269
956,0.950090989728771
957,0.940785871476849
958,0.710943681755725
959,0.368574733855726
960,0.462069041129848
961,0.842089127033387
962,0.675559082497385
963,0.101709420468697
964,0.644696626243199
965,0.478471697374166
966,0.970018153213585
967,0.634248077896232
968,0.0854859708931531
969,0.849613801973315
970,0.214656749603751
971,0.675559082497385
972,0.705580757460423
973,0.278520342587616
974,0.340658338792856
975,0.0563310543675457
976,0.200991204850964
977,0.0858760654151498
978,0.657226311588455
979,0.711086391794627
980,0.657139113727297
981,0.893382958135503
982,0.724538090416877
983,0.0853985874329192
984,0.921711617975009
985,0.105749582837952
986,0.500918666024083
987,0.0920002288050341
988,0.876123161605681
989,0.0832031709052299
990,0.699419193066475
991,0.0751764550355983
992,0.941259030623376
993,0.147951659828115
994,0.0675151887747533
995,0.0897079709935598
